method,qp,mean_kbps,mean_bpp,mean_LPIPS,mean_DISTS,mean_PSNR,mean_SSIM,mean_MS_SSIM
original,0,124.11726632742258,0.0019957215108989197,0.1726776454161154,0.11719290935434401,25.412601664062084,0.9576351345749572,0.8720583562972024
original,1,159.79251436063936,0.00256933895158179,0.1559411571943201,0.10616687417495996,25.89104327992064,0.9615250988863409,0.8863860692363232
original,2,209.23988324175824,0.0033643783757716047,0.1402431687383796,0.09782015322707593,26.401448442182478,0.9654000077862293,0.9003563290461898
original,3,270.80047795954044,0.0043541953004436725,0.1280411916304729,0.09106145438272506,26.829907517628286,0.9683541354024783,0.9112893702695146
beta_low,0,112.5125359015984,0.001809134777681327,0.15866716399614234,0.11648095631971955,24.19470103666416,0.948671251302585,0.8561587983276695
beta_low,1,144.9408397852148,0.0023305483217592594,0.14174120797542855,0.10686200170312077,24.68973433372433,0.9536956815281883,0.8734110649675131
beta_low,2,185.4712883991009,0.0029822154103973765,0.12875991992041236,0.09833345876540989,25.152639350815868,0.9579002453247085,0.8872672081924975
beta_low,3,237.64066230644357,0.003821026837384259,0.11704014139104402,0.09267759113572538,25.56795654062762,0.9614605604438111,0.8992407785262913
v3_beta_low,0,118.26350040584416,0.0019015992717978396,0.1579232372896513,0.10669537261128426,25.35010038633485,0.9575237744720653,0.8656213004142046
v3_beta_low,1,151.8640295641858,0.002441865897472994,0.1410152626776835,0.09576365258544683,25.833929715006466,0.9615642686840147,0.8811629242263734
v3_beta_low,2,195.7119085601898,0.0031468671633873456,0.1278436610373319,0.08737342339009047,26.3129460154472,0.9652278628200293,0.8949988740496337
v3_beta_low,3,251.42163414710288,0.00404261459538966,0.11652726309694117,0.08139916369691491,26.710795057190595,0.9680549894692376,0.9063069928670302
v4_selected,0,107.52758663211787,0.0017289828076774692,0.16090565043850802,0.11291984061244875,24.455306141825965,0.951136993477121,0.8568465487333015
v4_selected,1,137.96576954295705,0.0022184018735532406,0.1442158320423914,0.10425636207219213,24.95054143683061,0.9559842251474038,0.8738378309644759
v4_selected,2,175.96981112637363,0.0028294466748649692,0.1314283600950148,0.09624095668550581,25.378692562470075,0.9597311930265278,0.8864575088955462
v4_selected,3,227.678670236014,0.003660866066261574,0.11957683276705211,0.09191132849082351,25.778298143129152,0.9629607604583725,0.8983866770286113
